fold,train_start,train_end,valid_start,valid_end,model,roc_auc,average_precision,brier,max_f1,best_threshold,train_seconds
1,86400,8745772,8745798,10437996,boosting,0.9265376388414632,0.5918034635244933,0.0814770387910246,0.5666376306620209,0.8041597962123633,4161.604387166997
2,86400,10437996,10438003,12192842,boosting,0.9171546029389294,0.5722566473731394,0.077456157979047,0.5511332227750138,0.8155018673562971,5013.605699625012
3,86400,12192842,12192900,15811131,boosting,0.908976947519841,0.5149044120070007,0.0818488027024416,0.4998616874135546,0.830866901297485,3906.4212588750233
