rank,candidate_id,config_id,config_hash,model_family,feature_profile,split_policy,source_run_id,source_run_dir,manifest_path,sample_rows,params_json,positive_weight,class_weight_alpha,roc_auc,average_precision,brier,max_f1,best_threshold,train_seconds
18,boosting_search_capacity_n150_lr0_1_d5_b64_boosting_search_capacity_n150_lr0_1_d5_b64,boosting_search_capacity_n150_lr0_1_d5_b64,4d009250431ef497,boosting,baseline,inner_tuning,boosting_search_capacity_n150_lr0_1_d5_b64_boosting_search_capacity_n150_lr0_1_d5_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d5_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d5_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9066951366404816,0.5550779612202116,0.0900919798018694,0.5368163764130767,0.8251508551141815,2944.3311452089984
19,boosting_search_capacity_n100_lr0_12_d5_b64_boosting_search_capacity_n100_lr0_12_d5_b64,boosting_search_capacity_n100_lr0_12_d5_b64,9d2fe58efe691971,boosting,baseline,inner_tuning,boosting_search_capacity_n100_lr0_12_d5_b64_boosting_search_capacity_n100_lr0_12_d5_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d5_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d5_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.12, ""max_depth"": 5, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 100, ""subsample"": 0.8}",balanced,,0.9046972717844316,0.5418649197369143,0.0933257270442274,0.5239085239085239,0.7952004659073998,1928.3504689999972
20,boosting_search_capacity_n300_lr0_05_d4_b64_boosting_search_capacity_n300_lr0_05_d4_b64,boosting_search_capacity_n300_lr0_05_d4_b64,edd31bff26ee7360,boosting,baseline,inner_tuning,boosting_search_capacity_n300_lr0_05_d4_b64_boosting_search_capacity_n300_lr0_05_d4_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n300_lr0_05_d4_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n300_lr0_05_d4_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 300, ""subsample"": 0.8}",balanced,,0.9043224430416738,0.5530560248664453,0.0977402741079897,0.5435697115384615,0.8148805597571335,4856.0394726660015
21,boosting_search_capacity_n300_lr0_05_d4_b96_boosting_search_capacity_n300_lr0_05_d4_b96,boosting_search_capacity_n300_lr0_05_d4_b96,72dc401710d44501,boosting,baseline,inner_tuning,boosting_search_capacity_n300_lr0_05_d4_b96_boosting_search_capacity_n300_lr0_05_d4_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n300_lr0_05_d4_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n300_lr0_05_d4_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 300, ""subsample"": 0.8}",balanced,,0.9038799940517498,0.5446862569155457,0.0989086245873798,0.5319340329835083,0.8157167006544536,4952.697887624992
22,boosting_search_capacity_n100_lr0_12_d5_b96_boosting_search_capacity_n100_lr0_12_d5_b96,boosting_search_capacity_n100_lr0_12_d5_b96,bda0b4d810096368,boosting,baseline,inner_tuning,boosting_search_capacity_n100_lr0_12_d5_b96_boosting_search_capacity_n100_lr0_12_d5_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d5_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d5_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.12, ""max_depth"": 5, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 100, ""subsample"": 0.8}",balanced,,0.9034039118845312,0.5388265780663917,0.0911613144749934,0.5186131969963252,0.8450198989962036,1973.7063374589925
23,boosting_search_depth4_anchor_boosting_search_depth4_anchor,boosting_search_depth4_anchor,d612672ea72783a5,boosting,baseline,inner_tuning,boosting_search_depth4_anchor_boosting_search_depth4_anchor_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_depth4_anchor,outputs/experiments/boosting-search-2026-05-27/boosting_search_depth4_anchor/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9028246521878328,0.5395586113713128,0.0993542223948255,0.5260347129506009,0.8188481946807383,3188.6081926250044
24,boosting_search_capacity_n400_lr0_03_d4_b64_boosting_search_capacity_n400_lr0_03_d4_b64,boosting_search_capacity_n400_lr0_03_d4_b64,8517e7654cb5675a,boosting,baseline,inner_tuning,boosting_search_capacity_n400_lr0_03_d4_b64_boosting_search_capacity_n400_lr0_03_d4_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n400_lr0_03_d4_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n400_lr0_03_d4_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 400, ""subsample"": 0.8}",balanced,,0.9026199045149056,0.5423424938272652,0.1006936540838609,0.5320672478206725,0.8214300006690101,6136.536808582998
25,boosting_search_capacity_n200_lr0_08_d4_b64_boosting_search_capacity_n200_lr0_08_d4_b64,boosting_search_capacity_n200_lr0_08_d4_b64,01f44c5956cbcf21,boosting,baseline,inner_tuning,boosting_search_capacity_n200_lr0_08_d4_b64_boosting_search_capacity_n200_lr0_08_d4_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n200_lr0_08_d4_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n200_lr0_08_d4_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.9023654631868572,0.5480140999225959,0.0974443768649987,0.5358707143935962,0.8232520269748868,3139.624432666009
26,boosting_search_capacity_n400_lr0_03_d4_b96_boosting_search_capacity_n400_lr0_03_d4_b96,boosting_search_capacity_n400_lr0_03_d4_b96,3fed7ec838967ec1,boosting,baseline,inner_tuning,boosting_search_capacity_n400_lr0_03_d4_b96_boosting_search_capacity_n400_lr0_03_d4_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n400_lr0_03_d4_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n400_lr0_03_d4_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 400, ""subsample"": 0.8}",balanced,,0.902128031006652,0.5417517463731263,0.1022236626329438,0.5273195096110186,0.8130949147129215,6069.440800541997
27,boosting_search_capacity_n150_lr0_1_d4_b64_boosting_search_capacity_n150_lr0_1_d4_b64,boosting_search_capacity_n150_lr0_1_d4_b64,4e4787c56db3a68e,boosting,baseline,inner_tuning,boosting_search_capacity_n150_lr0_1_d4_b64_boosting_search_capacity_n150_lr0_1_d4_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d4_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d4_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.9012469009418872,0.5415454141457426,0.0981949220597821,0.5327394209354119,0.8218414550521164,2334.982605790996
28,boosting_search_capacity_n150_lr0_1_d4_b96_boosting_search_capacity_n150_lr0_1_d4_b96,boosting_search_capacity_n150_lr0_1_d4_b96,f1476b5c567f9f73,boosting,baseline,inner_tuning,boosting_search_capacity_n150_lr0_1_d4_b96_boosting_search_capacity_n150_lr0_1_d4_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d4_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n150_lr0_1_d4_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.8994882630069678,0.5389851768072621,0.1001705437401674,0.5235100329439952,0.8257839999203737,2331.5146449159947
29,boosting_search_capacity_n100_lr0_12_d4_b64_boosting_search_capacity_n100_lr0_12_d4_b64,boosting_search_capacity_n100_lr0_12_d4_b64,fab0156d12b661ba,boosting,baseline,inner_tuning,boosting_search_capacity_n100_lr0_12_d4_b64_boosting_search_capacity_n100_lr0_12_d4_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d4_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d4_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.12, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 100, ""subsample"": 0.8}",balanced,,0.896241894878607,0.5331355611037438,0.1030041020194366,0.5223313272093759,0.853586443467984,1606.065075874998
30,boosting_search_capacity_n100_lr0_12_d4_b96_boosting_search_capacity_n100_lr0_12_d4_b96,boosting_search_capacity_n100_lr0_12_d4_b96,2009d80a646f45ae,boosting,baseline,inner_tuning,boosting_search_capacity_n100_lr0_12_d4_b96_boosting_search_capacity_n100_lr0_12_d4_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d4_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_capacity_n100_lr0_12_d4_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.12, ""max_depth"": 4, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 100, ""subsample"": 0.8}",balanced,,0.8957260919869942,0.521725674973711,0.1030195796772802,0.5177885418406546,0.8692349276994672,1657.084829875006
31,boosting_search_boundary_mcw1_n200_lr0_08_d3_b96_boosting_search_boundary_mcw1_n200_lr0_08_d3_b96,boosting_search_boundary_mcw1_n200_lr0_08_d3_b96,5cb7ced2dd8f6b32,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n200_lr0_08_d3_b96_boosting_search_boundary_mcw1_n200_lr0_08_d3_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.8948781817292031,0.5323133247495445,0.1082612755121536,0.525031202329774,0.7954126843698791,2183.5080226249993
32,boosting_search_boundary_mcw1_n200_lr0_08_d3_b64_boosting_search_boundary_mcw1_n200_lr0_08_d3_b64,boosting_search_boundary_mcw1_n200_lr0_08_d3_b64,ca1fcf87f1bf5719,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n200_lr0_08_d3_b64_boosting_search_boundary_mcw1_n200_lr0_08_d3_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.8944410797884658,0.5362653508998481,0.1075118943368727,0.5250976421235353,0.8076376195306367,2217.0696547910047
33,boosting_search_boundary_mcw1_n200_lr0_08_d3_b128_boosting_search_boundary_mcw1_n200_lr0_08_d3_b128,boosting_search_boundary_mcw1_n200_lr0_08_d3_b128,a44fbe0bd1b07a46,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n200_lr0_08_d3_b128_boosting_search_boundary_mcw1_n200_lr0_08_d3_b128_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b128,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n200_lr0_08_d3_b128/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 128, ""n_estimators"": 200, ""subsample"": 0.8}",balanced,,0.8943236632870699,0.5316691016501301,0.1077937089975112,0.5263318112633181,0.8209465457457205,2283.869174749998
34,boosting_search_boundary_mcw1_n150_lr0_1_d3_b96_boosting_search_boundary_mcw1_n150_lr0_1_d3_b96,boosting_search_boundary_mcw1_n150_lr0_1_d3_b96,dd2ee6168b3832f1,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n150_lr0_1_d3_b96_boosting_search_boundary_mcw1_n150_lr0_1_d3_b96_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b96,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b96/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 96, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.8926077080681964,0.5226229196322106,0.108876264068038,0.5128367670364501,0.839036758202199,1683.6060547080124
35,boosting_search_boundary_mcw1_n150_lr0_1_d3_b128_boosting_search_boundary_mcw1_n150_lr0_1_d3_b128,boosting_search_boundary_mcw1_n150_lr0_1_d3_b128,0cfaf47c910486bc,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n150_lr0_1_d3_b128_boosting_search_boundary_mcw1_n150_lr0_1_d3_b128_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b128,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b128/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 128, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.8921227577693457,0.5187816337586331,0.1097565425747861,0.5147989986747166,0.8149897829403789,1612.1646947080008
36,boosting_search_boundary_mcw1_n150_lr0_1_d3_b64_boosting_search_boundary_mcw1_n150_lr0_1_d3_b64,boosting_search_boundary_mcw1_n150_lr0_1_d3_b64,dfddc031c8488778,boosting,baseline,inner_tuning,boosting_search_boundary_mcw1_n150_lr0_1_d3_b64_boosting_search_boundary_mcw1_n150_lr0_1_d3_b64_inner_tuning,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b64,outputs/experiments/boosting-search-2026-05-27/boosting_search_boundary_mcw1_n150_lr0_1_d3_b64/manifest.json,,"{""colsample"": 0.75, ""early_stopping_rounds"": 25, ""gamma"": 0.0, ""l2"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1.0, ""min_delta"": 0.0001, ""n_bins"": 64, ""n_estimators"": 150, ""subsample"": 0.8}",balanced,,0.891853604621316,0.5225987809059871,0.1085784045108622,0.5194424064563463,0.8142846402909709,1655.5332523329998
