run,model,rows_train,rows_valid,positive_rate_train,positive_rate_valid,roc_auc,average_precision,brier,max_f1,best_threshold,train_seconds
member_b_boosting_search_boundary_mcw20_n200_lr0_08_d6_b64_final_oot,boosting,472432,118108,0.0351352152267416,0.0344091848138991,0.908976947519841,0.5149044120070007,0.0818488027024416,0.4993785388758459,0.8300000000000001,6040.175318499998
member_a_lr_l2_0_01_final_oot,lr,472432,118108,0.0351352152267416,0.0344091848138991,0.8201747783853697,0.1661527202313626,0.148279236701992,0.3006687990694969,0.79,15.67065137499594
